,,,Salary,Salary,Salary,Salary,Salary,Salary,,
262,Moses Moody\moodymo01,GSW,$3562080,$3740160,$3918480,$5803269,,,1st Round Pick,$7302240
263,Boban Marjanović\marjabo01,DAL,$3500000,$3500000,,,,,Early Bird,$7000000
264,Mike Muscala\muscami01,OKC,$3500000,$3500000,,,,,MLE,$3500000
265,Cole Anthony\anthoco01,ORL,$3449400,$3613680,$5539771,,,,1st Round Pick,$7063080
266,Corey Kispert\kispeco01,WAS,$3383640,$3552960,$3722040,$5705887,,,1st Round Pick,$6936600
267,Trey Burke\burketr01,DAL,$3333333,$3492063,,,,,MLE,$3333333
268,Georges Niang\niangge01,PHI,$3300000,$3465000,,,,,MLE,$6765000
269,Chuma Okeke\okekech01,ORL,$3277080,$3433320,$5266713,,,,1st Round Pick,$6710400
270,Isaiah Stewart\stewais01,DET,$3277080,$3433320,$5266713,,,,1st Round Pick,$6710400
271,Nickeil Alexander-Walker\alexani01,UTA,$3261480,$5009633,,,,,1st Round Pick,$8271113
272,Alperen Şengün\sengual01,HOU,$3214680,$3375480,$3536400,$5424838,,,1st Round Pick,$6590160
273,Nicolas Batum\batumni01,LAC,$12213507,$12372008,,,,,Non Bird,$3170029
274,Jon Leuer\leuerjo01,MIL,$3169347,,,,,,,$3169347
275,Aleksej Pokusevski\pokusal01,OKC,$3113160,$3261480,$5009633,,,,1st Round Pick,$6374640
276,Goga Bitadze\bitadgo01,IND,$3098400,$4765339,,,,,1st Round Pick,$7863739
277,Trey Murphy III\murphtr02,NOP,$3053760,$3206640,$3359280,$5159854,,,1st Round Pick,$6260400
278,Sterling Brown\brownst02,DAL,$3000000,$3000000,,,,,Bi-Annual Exception,$6000000
279,Michael Carter-Williams\cartemi01,ORL,$3000000,,,,,,,$3000000
280,Frank Jackson\jacksfr01,DET,$3000000,$3150000,,,,,Cap Space,$3000000
281,Luka Šamanić\samanlu01,SAS,,,,,,,,$2959080
282,Josh Green\greenjo02,DAL,$2957520,$3098400,$4765339,,,,1st Round Pick,$6055920
283,Tre Mann\manntr01,OKC,$2901240,$3046200,$3191280,$4908189,,,1st Round Pick,$5947440
284,Dewayne Dedmon\dedmode01,DET,$5256308,$2866667,$2866667,$2866667,,,,$11466668
285,Andrew Nicholson\nichoan01,POR,$2844429,$2844429,$2844429,,,,,$8533287
286,Matisse Thybulle\thybuma01,PHI,$2840160,$4379527,,,,,1st Round Pick,$7219687
287,Saddiq Bey\beysa01,DET,$2824320,$2959080,$4556983,,,,1st Round Pick,$5783400
