Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
317,Jeremy Lamb\lambje01,SF-SG,29,TOT,46,0,16.5,2.3,6.2,.372,1.0,3.1,.326,1.3,3.1,.418,.454,1.7,2.0,.840,0.4,2.2,2.6,1.4,0.6,0.4,0.6,1.1,7.3
317,Jeremy Lamb\lambje01,SF,29,IND,39,0,15.7,2.2,5.8,.373,1.0,3.0,.333,1.2,2.8,.414,.458,1.7,2.1,.838,0.4,2.0,2.4,1.3,0.6,0.4,0.6,1.1,7.1
317,Jeremy Lamb\lambje01,SG,29,SAC,7,0,21.1,3.0,8.1,.368,1.1,3.9,.296,1.9,4.3,.433,.439,1.7,2.0,.857,0.4,3.4,3.9,1.9,0.4,0.9,0.7,1.0,8.9
318,Jock Landale\landajo01,C,26,SAS,44,1,10.5,2.0,3.8,.524,0.5,1.6,.324,1.5,2.2,.674,.593,0.6,0.7,.833,1.1,1.2,2.3,0.9,0.2,0.3,0.6,1.1,5.0
319,Romeo Langford\langfro01,SG,22,TOT,45,5,16.5,1.8,4.2,.436,0.6,1.9,.345,1.2,2.3,.510,.513,0.5,0.8,.553,0.7,1.7,2.3,0.4,0.5,0.4,0.4,1.0,4.8
319,Romeo Langford\langfro01,SG,22,BOS,44,5,16.5,1.8,4.2,.429,0.7,1.9,.349,1.1,2.3,.495,.508,0.5,0.8,.588,0.7,1.7,2.4,0.4,0.5,0.4,0.4,1.0,4.7
319,Romeo Langford\langfro01,SG,22,SAS,1,0,16.0,3.0,4.0,.750,0.0,1.0,.000,3.0,3.0,1.000,.750,1.0,4.0,.250,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
320,Zach LaVine\lavinza01,SF,26,CHI,56,56,34.8,8.8,18.1,.482,2.9,7.2,.396,5.9,10.9,.539,.561,4.4,5.1,.861,0.3,4.5,4.8,4.5,0.6,0.4,2.7,1.9,24.8
321,Jake Layman\laymaja01,SF,27,MIN,28,1,7.0,0.8,2.1,.383,0.2,1.0,.172,0.6,1.1,.581,.425,0.3,0.4,.750,0.2,0.9,1.1,0.3,0.2,0.2,0.3,0.4,2.1
322,Damion Lee\leeda03,SG,29,GSW,54,4,19.8,2.8,6.1,.449,1.1,3.1,.351,1.7,3.0,.549,.538,0.9,1.0,.855,0.4,2.7,3.1,0.9,0.7,0.1,0.6,1.5,7.5
